,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,2004-2005,17,"('Barcelona', '/en/squads/206d90db/2004-2005/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2004-2005/2004-2005-La-Liga-Stats')",1st,0.8,,,,,,0,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2004-2005/passing/Lionel-Messi-Match-Logs')"
1,2005-2006,18,"('Barcelona', '/en/squads/206d90db/2005-2006/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2005-2006/2005-2006-La-Liga-Stats')",1st,10.1,,,,,,3,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2005-2006/passing/Lionel-Messi-Match-Logs')"
2,2006-2007,19,"('Barcelona', '/en/squads/206d90db/2006-2007/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2006-2007/2006-2007-La-Liga-Stats')",2nd,22.0,,,,,,3,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2006-2007/passing/Lionel-Messi-Match-Logs')"
3,2007-2008,20,"('Barcelona', '/en/squads/206d90db/2007-2008/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2007-2008/2007-2008-La-Liga-Stats')",3rd,21.9,,,,,,12,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2007-2008/passing/Lionel-Messi-Match-Logs')"
4,2008-2009,21,"('Barcelona', '/en/squads/206d90db/2008-2009/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2008-2009/2008-2009-La-Liga-Stats')",1st,28.0,,,,,,11,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2008-2009/passing/Lionel-Messi-Match-Logs')"
5,2009-2010,22,"('Barcelona', '/en/squads/206d90db/2009-2010/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2009-2010/2009-2010-La-Liga-Stats')",1st,31.2,,,,,,9,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2009-2010/passing/Lionel-Messi-Match-Logs')"
6,2010-2011,23,"('Barcelona', '/en/squads/206d90db/2010-2011/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2010-2011/2010-2011-La-Liga-Stats')",1st,31.8,,,,,,19,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2010-2011/passing/Lionel-Messi-Match-Logs')"
7,2011-2012,24,"('Barcelona', '/en/squads/206d90db/2011-2012/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2011-2012/2011-2012-La-Liga-Stats')",2nd,36.3,,,,,,16,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2011-2012/passing/Lionel-Messi-Match-Logs')"
8,2012-2013,25,"('Barcelona', '/en/squads/206d90db/2012-2013/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2012-2013/2012-2013-La-Liga-Stats')",1st,29.4,,,,,,11,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2012-2013/passing/Lionel-Messi-Match-Logs')"
9,2013-2014,26,"('Barcelona', '/en/squads/206d90db/2013-2014/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2013-2014/2013-2014-La-Liga-Stats')",2nd,27.8,,,,,,11,,,,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2013-2014/passing/Lionel-Messi-Match-Logs')"
