,Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,2004-2005,17,"('Barcelona', '/en/squads/206d90db/2004-2005/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2004-2005/2004-2005-La-Liga-Stats')",1st,0.8,1,,4,,,5.14,,0.25,,,0,0,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2004-2005/summary/Lionel-Messi-Match-Logs')"
1,2005-2006,18,"('Barcelona', '/en/squads/206d90db/2005-2006/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2005-2006/2005-2006-La-Liga-Stats')",1st,10.1,6,,23,,,2.27,,0.26,,,0,0,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2005-2006/summary/Lionel-Messi-Match-Logs')"
2,2006-2007,19,"('Barcelona', '/en/squads/206d90db/2006-2007/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2006-2007/2006-2007-La-Liga-Stats')",2nd,22.0,14,,32,,,1.45,,0.44,,,0,0,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2006-2007/summary/Lionel-Messi-Match-Logs')"
3,2007-2008,20,"('Barcelona', '/en/squads/206d90db/2007-2008/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2007-2008/2007-2008-La-Liga-Stats')",3rd,21.9,10,,33,,,1.51,,0.18,,,4,4,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2007-2008/summary/Lionel-Messi-Match-Logs')"
4,2008-2009,21,"('Barcelona', '/en/squads/206d90db/2008-2009/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2008-2009/2008-2009-La-Liga-Stats')",1st,28.0,23,,55,,,1.97,,0.36,,,3,4,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2008-2009/summary/Lionel-Messi-Match-Logs')"
5,2009-2010,22,"('Barcelona', '/en/squads/206d90db/2009-2010/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2009-2010/2009-2010-La-Liga-Stats')",1st,31.2,34,,104,,,3.34,,0.32,,,1,1,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2009-2010/summary/Lionel-Messi-Match-Logs')"
6,2010-2011,23,"('Barcelona', '/en/squads/206d90db/2010-2011/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2010-2011/2010-2011-La-Liga-Stats')",1st,31.8,31,,76,,,2.39,,0.36,,,4,4,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2010-2011/summary/Lionel-Messi-Match-Logs')"
7,2011-2012,24,"('Barcelona', '/en/squads/206d90db/2011-2012/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2011-2012/2011-2012-La-Liga-Stats')",2nd,36.3,50,,114,,,3.14,,0.35,,,10,11,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2011-2012/summary/Lionel-Messi-Match-Logs')"
8,2012-2013,25,"('Barcelona', '/en/squads/206d90db/2012-2013/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2012-2013/2012-2013-La-Liga-Stats')",1st,29.4,46,,90,,,3.06,,0.47,,,4,4,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2012-2013/summary/Lionel-Messi-Match-Logs')"
9,2013-2014,26,"('Barcelona', '/en/squads/206d90db/2013-2014/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2013-2014/2013-2014-La-Liga-Stats')",2nd,27.8,28,,79,,,2.84,,0.27,,,7,8,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2013-2014/summary/Lionel-Messi-Match-Logs')"
